Abbreviation,TeamName,GridPosition,Position,ClassifiedPosition,Status,Points,Year,Race,Round,DNFType
RUS,Mercedes,6.0,5.0,5,Finished,10.0,2023,British Grand Prix,10,Finished
PER,Red Bull Racing,15.0,6.0,6,Finished,8.0,2023,British Grand Prix,10,Finished
ALO,Aston Martin,9.0,7.0,7,Finished,6.0,2023,British Grand Prix,10,Finished
ALB,Williams,8.0,8.0,8,Finished,4.0,2023,British Grand Prix,10,Finished
LEC,Ferrari,4.0,9.0,9,Finished,2.0,2023,British Grand Prix,10,Finished
SAI,Ferrari,5.0,10.0,10,Finished,1.0,2023,British Grand Prix,10,Finished
SAR,Williams,14.0,11.0,11,Finished,0.0,2023,British Grand Prix,10,Finished
BOT,Alfa Romeo,20.0,12.0,12,Finished,0.0,2023,British Grand Prix,10,Finished
HUL,Haas F1 Team,11.0,13.0,13,Finished,0.0,2023,British Grand Prix,10,Finished
STR,Aston Martin,12.0,14.0,14,Finished,0.0,2023,British Grand Prix,10,Finished
ZHO,Alfa Romeo,17.0,15.0,15,Finished,0.0,2023,British Grand Prix,10,Finished
TSU,AlphaTauri,16.0,16.0,16,Finished,0.0,2023,British Grand Prix,10,Finished
DEV,AlphaTauri,18.0,17.0,17,Finished,0.0,2023,British Grand Prix,10,Finished
GAS,Alpine,10.0,18.0,18,Retired,0.0,2023,British Grand Prix,10,CarDNF
MAG,Haas F1 Team,19.0,19.0,R,Retired,0.0,2023,British Grand Prix,10,CarDNF
OCO,Alpine,13.0,20.0,R,Retired,0.0,2023,British Grand Prix,10,CarDNF
VER,Red Bull Racing,2.0,1.0,1,Finished,26.0,2023,Hungarian Grand Prix,11,Finished
NOR,McLaren,3.0,2.0,2,Finished,18.0,2023,Hungarian Grand Prix,11,Finished
PER,Red Bull Racing,9.0,3.0,3,Finished,15.0,2023,Hungarian Grand Prix,11,Finished
HAM,Mercedes,1.0,4.0,4,Finished,12.0,2023,Hungarian Grand Prix,11,Finished
PIA,McLaren,4.0,5.0,5,Finished,10.0,2023,Hungarian Grand Prix,11,Finished
RUS,Mercedes,18.0,6.0,6,Finished,8.0,2023,Hungarian Grand Prix,11,Finished
LEC,Ferrari,6.0,7.0,7,Finished,6.0,2023,Hungarian Grand Prix,11,Finished
SAI,Ferrari,11.0,8.0,8,Finished,4.0,2023,Hungarian Grand Prix,11,Finished
ALO,Aston Martin,8.0,9.0,9,Finished,2.0,2023,Hungarian Grand Prix,11,Finished
STR,Aston Martin,14.0,10.0,10,Lapped,1.0,2023,Hungarian Grand Prix,11,Finished
ALB,Williams,16.0,11.0,11,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
BOT,Alfa Romeo,7.0,12.0,12,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
RIC,AlphaTauri,13.0,13.0,13,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
HUL,Haas F1 Team,10.0,14.0,14,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
TSU,AlphaTauri,17.0,15.0,15,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
ZHO,Alfa Romeo,5.0,16.0,16,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
MAG,Haas F1 Team,19.0,17.0,17,Lapped,0.0,2023,Hungarian Grand Prix,11,Finished
SAR,Williams,20.0,18.0,18,Retired,0.0,2023,Hungarian Grand Prix,11,CarDNF
OCO,Alpine,12.0,19.0,R,Retired,0.0,2023,Hungarian Grand Prix,11,CarDNF
GAS,Alpine,15.0,20.0,R,Retired,0.0,2023,Hungarian Grand Prix,11,CarDNF
VER,Red Bull Racing,6.0,1.0,1,Finished,25.0,2023,Belgian Grand Prix,12,Finished
PER,Red Bull Racing,2.0,2.0,2,Finished,18.0,2023,Belgian Grand Prix,12,Finished
LEC,Ferrari,1.0,3.0,3,Finished,15.0,2023,Belgian Grand Prix,12,Finished
HAM,Mercedes,3.0,4.0,4,Finished,13.0,2023,Belgian Grand Prix,12,Finished
ALO,Aston Martin,9.0,5.0,5,Finished,10.0,2023,Belgian Grand Prix,12,Finished
RUS,Mercedes,8.0,6.0,6,Finished,8.0,2023,Belgian Grand Prix,12,Finished
NOR,McLaren,7.0,7.0,7,Finished,6.0,2023,Belgian Grand Prix,12,Finished
OCO,Alpine,14.0,8.0,8,Finished,4.0,2023,Belgian Grand Prix,12,Finished
STR,Aston Martin,10.0,9.0,9,Finished,2.0,2023,Belgian Grand Prix,12,Finished
TSU,AlphaTauri,11.0,10.0,10,Finished,1.0,2023,Belgian Grand Prix,12,Finished
GAS,Alpine,12.0,11.0,11,Finished,0.0,2023,Belgian Grand Prix,12,Finished
BOT,Alfa Romeo,13.0,12.0,12,Finished,0.0,2023,Belgian Grand Prix,12,Finished
ZHO,Alfa Romeo,17.0,13.0,13,Finished,0.0,2023,Belgian Grand Prix,12,Finished
ALB,Williams,15.0,14.0,14,Finished,0.0,2023,Belgian Grand Prix,12,Finished
MAG,Haas F1 Team,16.0,15.0,15,Finished,0.0,2023,Belgian Grand Prix,12,Finished
RIC,AlphaTauri,19.0,16.0,16,Finished,0.0,2023,Belgian Grand Prix,12,Finished
SAR,Williams,18.0,17.0,17,Finished,0.0,2023,Belgian Grand Prix,12,Finished
HUL,Haas F1 Team,20.0,18.0,18,Finished,0.0,2023,Belgian Grand Prix,12,Finished
SAI,Ferrari,4.0,19.0,R,Retired,0.0,2023,Belgian Grand Prix,12,CarDNF
PIA,McLaren,5.0,20.0,R,Retired,0.0,2023,Belgian Grand Prix,12,CarDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,25.0,2023,Dutch Grand Prix,13,Finished
ALO,Aston Martin,5.0,2.0,2,Finished,19.0,2023,Dutch Grand Prix,13,Finished
GAS,Alpine,12.0,3.0,3,Finished,15.0,2023,Dutch Grand Prix,13,Finished
PER,Red Bull Racing,7.0,4.0,4,Finished,12.0,2023,Dutch Grand Prix,13,Finished
SAI,Ferrari,6.0,5.0,5,Finished,10.0,2023,Dutch Grand Prix,13,Finished
HAM,Mercedes,13.0,6.0,6,Finished,8.0,2023,Dutch Grand Prix,13,Finished
NOR,McLaren,2.0,7.0,7,Finished,6.0,2023,Dutch Grand Prix,13,Finished
ALB,Williams,4.0,8.0,8,Finished,4.0,2023,Dutch Grand Prix,13,Finished
PIA,McLaren,8.0,9.0,9,Finished,2.0,2023,Dutch Grand Prix,13,Finished
OCO,Alpine,16.0,10.0,10,Finished,1.0,2023,Dutch Grand Prix,13,Finished
STR,Aston Martin,11.0,11.0,11,Finished,0.0,2023,Dutch Grand Prix,13,Finished
HUL,Haas F1 Team,14.0,12.0,12,Finished,0.0,2023,Dutch Grand Prix,13,Finished
LAW,AlphaTauri,19.0,13.0,13,Finished,0.0,2023,Dutch Grand Prix,13,Finished
BOT,Alfa Romeo,18.0,14.0,14,Finished,0.0,2023,Dutch Grand Prix,13,Finished
TSU,AlphaTauri,17.0,15.0,15,Finished,0.0,2023,Dutch Grand Prix,13,Finished
MAG,Haas F1 Team,0.0,16.0,16,Finished,0.0,2023,Dutch Grand Prix,13,Finished
RUS,Mercedes,3.0,17.0,17,Finished,0.0,2023,Dutch Grand Prix,13,Finished
ZHO,Alfa Romeo,15.0,18.0,R,Accident,0.0,2023,Dutch Grand Prix,13,DriverDNF
LEC,Ferrari,9.0,19.0,R,Undertray,0.0,2023,Dutch Grand Prix,13,CarDNF
SAR,Williams,10.0,20.0,R,Accident,0.0,2023,Dutch Grand Prix,13,DriverDNF
VER,Red Bull Racing,2.0,1.0,1,Finished,25.0,2023,Italian Grand Prix,14,Finished
PER,Red Bull Racing,5.0,2.0,2,Finished,18.0,2023,Italian Grand Prix,14,Finished
SAI,Ferrari,1.0,3.0,3,Finished,15.0,2023,Italian Grand Prix,14,Finished
LEC,Ferrari,3.0,4.0,4,Finished,12.0,2023,Italian Grand Prix,14,Finished
RUS,Mercedes,4.0,5.0,5,Finished,10.0,2023,Italian Grand Prix,14,Finished
HAM,Mercedes,8.0,6.0,6,Finished,8.0,2023,Italian Grand Prix,14,Finished
ALB,Williams,6.0,7.0,7,Finished,6.0,2023,Italian Grand Prix,14,Finished
NOR,McLaren,9.0,8.0,8,Finished,4.0,2023,Italian Grand Prix,14,Finished
ALO,Aston Martin,10.0,9.0,9,Finished,2.0,2023,Italian Grand Prix,14,Finished
BOT,Alfa Romeo,14.0,10.0,10,Finished,1.0,2023,Italian Grand Prix,14,Finished
LAW,AlphaTauri,12.0,11.0,11,Finished,0.0,2023,Italian Grand Prix,14,Finished
PIA,McLaren,7.0,12.0,12,Finished,0.0,2023,Italian Grand Prix,14,Finished
SAR,Williams,15.0,13.0,13,Finished,0.0,2023,Italian Grand Prix,14,Finished
ZHO,Alfa Romeo,16.0,14.0,14,Finished,0.0,2023,Italian Grand Prix,14,Finished
GAS,Alpine,17.0,15.0,15,Finished,0.0,2023,Italian Grand Prix,14,Finished
STR,Aston Martin,20.0,16.0,16,Finished,0.0,2023,Italian Grand Prix,14,Finished
HUL,Haas F1 Team,13.0,17.0,17,Lapped,0.0,2023,Italian Grand Prix,14,Finished
MAG,Haas F1 Team,19.0,18.0,18,Lapped,0.0,2023,Italian Grand Prix,14,Finished
OCO,Alpine,18.0,19.0,R,Retired,0.0,2023,Italian Grand Prix,14,CarDNF
TSU,AlphaTauri,11.0,20.0,W,Did not start,0.0,2023,Italian Grand Prix,14,CarDNF
SAI,Ferrari,1.0,1.0,1,Finished,25.0,2023,Singapore Grand Prix,15,Finished
NOR,McLaren,4.0,2.0,2,Finished,18.0,2023,Singapore Grand Prix,15,Finished
HAM,Mercedes,5.0,3.0,3,Finished,16.0,2023,Singapore Grand Prix,15,Finished
LEC,Ferrari,3.0,4.0,4,Finished,12.0,2023,Singapore Grand Prix,15,Finished
VER,Red Bull Racing,11.0,5.0,5,Finished,10.0,2023,Singapore Grand Prix,15,Finished
GAS,Alpine,12.0,6.0,6,Finished,8.0,2023,Singapore Grand Prix,15,Finished
PIA,McLaren,17.0,7.0,7,Finished,6.0,2023,Singapore Grand Prix,15,Finished
PER,Red Bull Racing,13.0,8.0,8,Finished,4.0,2023,Singapore Grand Prix,15,Finished
LAW,AlphaTauri,10.0,9.0,9,Finished,2.0,2023,Singapore Grand Prix,15,Finished
MAG,Haas F1 Team,6.0,10.0,10,Finished,1.0,2023,Singapore Grand Prix,15,Finished
ALB,Williams,14.0,11.0,11,Finished,0.0,2023,Singapore Grand Prix,15,Finished
ZHO,Alfa Romeo,19.0,12.0,12,Finished,0.0,2023,Singapore Grand Prix,15,Finished
HUL,Haas F1 Team,9.0,13.0,13,Finished,0.0,2023,Singapore Grand Prix,15,Finished
SAR,Williams,18.0,14.0,14,Finished,0.0,2023,Singapore Grand Prix,15,Finished
ALO,Aston Martin,7.0,15.0,15,Finished,0.0,2023,Singapore Grand Prix,15,Finished
RUS,Mercedes,2.0,16.0,16,Retired,0.0,2023,Singapore Grand Prix,15,CarDNF
BOT,Alfa Romeo,16.0,17.0,R,Retired,0.0,2023,Singapore Grand Prix,15,CarDNF
OCO,Alpine,8.0,18.0,R,Retired,0.0,2023,Singapore Grand Prix,15,CarDNF
TSU,AlphaTauri,15.0,19.0,R,Retired,0.0,2023,Singapore Grand Prix,15,CarDNF
STR,Aston Martin,,,W,Withdrew,0.0,2023,Singapore Grand Prix,15,DriverDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2023,Japanese Grand Prix,16,Finished
NOR,McLaren,3.0,2.0,2,Finished,18.0,2023,Japanese Grand Prix,16,Finished
PIA,McLaren,2.0,3.0,3,Finished,15.0,2023,Japanese Grand Prix,16,Finished
LEC,Ferrari,4.0,4.0,4,Finished,12.0,2023,Japanese Grand Prix,16,Finished
HAM,Mercedes,7.0,5.0,5,Finished,10.0,2023,Japanese Grand Prix,16,Finished
SAI,Ferrari,6.0,6.0,6,Finished,8.0,2023,Japanese Grand Prix,16,Finished
RUS,Mercedes,8.0,7.0,7,Finished,6.0,2023,Japanese Grand Prix,16,Finished
ALO,Aston Martin,10.0,8.0,8,Finished,4.0,2023,Japanese Grand Prix,16,Finished
OCO,Alpine,14.0,9.0,9,Finished,2.0,2023,Japanese Grand Prix,16,Finished
GAS,Alpine,12.0,10.0,10,Finished,1.0,2023,Japanese Grand Prix,16,Finished
LAW,AlphaTauri,11.0,11.0,11,Lapped,0.0,2023,Japanese Grand Prix,16,Finished
TSU,AlphaTauri,9.0,12.0,12,Lapped,0.0,2023,Japanese Grand Prix,16,Finished
ZHO,Alfa Romeo,19.0,13.0,13,Lapped,0.0,2023,Japanese Grand Prix,16,Finished
HUL,Haas F1 Team,18.0,14.0,14,Lapped,0.0,2023,Japanese Grand Prix,16,Finished
MAG,Haas F1 Team,15.0,15.0,15,Lapped,0.0,2023,Japanese Grand Prix,16,Finished
ALB,Williams,13.0,16.0,R,Retired,0.0,2023,Japanese Grand Prix,16,CarDNF
SAR,Williams,20.0,17.0,R,Retired,0.0,2023,Japanese Grand Prix,16,CarDNF
STR,Aston Martin,17.0,18.0,R,Retired,0.0,2023,Japanese Grand Prix,16,CarDNF
PER,Red Bull Racing,5.0,19.0,R,Retired,0.0,2023,Japanese Grand Prix,16,CarDNF
BOT,Alfa Romeo,16.0,20.0,R,Retired,0.0,2023,Japanese Grand Prix,16,CarDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2023,Qatar Grand Prix,17,Finished
PIA,McLaren,6.0,2.0,2,Finished,18.0,2023,Qatar Grand Prix,17,Finished
NOR,McLaren,10.0,3.0,3,Finished,15.0,2023,Qatar Grand Prix,17,Finished
RUS,Mercedes,2.0,4.0,4,Finished,12.0,2023,Qatar Grand Prix,17,Finished
LEC,Ferrari,5.0,5.0,5,Finished,10.0,2023,Qatar Grand Prix,17,Finished
ALO,Aston Martin,4.0,6.0,6,Finished,8.0,2023,Qatar Grand Prix,17,Finished
OCO,Alpine,8.0,7.0,7,Finished,6.0,2023,Qatar Grand Prix,17,Finished
BOT,Alfa Romeo,9.0,8.0,8,Finished,4.0,2023,Qatar Grand Prix,17,Finished
ZHO,Alfa Romeo,19.0,9.0,9,Finished,2.0,2023,Qatar Grand Prix,17,Finished
PER,Red Bull Racing,20.0,10.0,10,Finished,1.0,2023,Qatar Grand Prix,17,Finished
STR,Aston Martin,16.0,11.0,11,Finished,0.0,2023,Qatar Grand Prix,17,Finished
GAS,Alpine,7.0,12.0,12,Finished,0.0,2023,Qatar Grand Prix,17,Finished
ALB,Williams,13.0,13.0,13,Finished,0.0,2023,Qatar Grand Prix,17,Finished
MAG,Haas F1 Team,18.0,14.0,14,Lapped,0.0,2023,Qatar Grand Prix,17,Finished
TSU,AlphaTauri,11.0,15.0,15,Lapped,0.0,2023,Qatar Grand Prix,17,Finished
HUL,Haas F1 Team,14.0,16.0,16,Lapped,0.0,2023,Qatar Grand Prix,17,Finished
LAW,AlphaTauri,17.0,17.0,17,Lapped,0.0,2023,Qatar Grand Prix,17,Finished
SAR,Williams,15.0,18.0,R,Retired,0.0,2023,Qatar Grand Prix,17,CarDNF
HAM,Mercedes,3.0,19.0,R,Retired,0.0,2023,Qatar Grand Prix,17,CarDNF
SAI,Ferrari,12.0,20.0,W,Did not start,0.0,2023,Qatar Grand Prix,17,CarDNF
VER,Red Bull Racing,6.0,1.0,1,Finished,25.0,2023,United States Grand Prix,18,Finished
NOR,McLaren,2.0,2.0,2,Finished,18.0,2023,United States Grand Prix,18,Finished
SAI,Ferrari,4.0,3.0,3,Finished,15.0,2023,United States Grand Prix,18,Finished
PER,Red Bull Racing,9.0,4.0,4,Finished,12.0,2023,United States Grand Prix,18,Finished
RUS,Mercedes,5.0,5.0,5,Finished,10.0,2023,United States Grand Prix,18,Finished
GAS,Alpine,7.0,6.0,6,Finished,8.0,2023,United States Grand Prix,18,Finished
STR,Aston Martin,20.0,7.0,7,Finished,6.0,2023,United States Grand Prix,18,Finished
TSU,AlphaTauri,11.0,8.0,8,Finished,5.0,2023,United States Grand Prix,18,Finished
ALB,Williams,15.0,9.0,9,Finished,2.0,2023,United States Grand Prix,18,Finished
SAR,Williams,16.0,10.0,10,Finished,1.0,2023,United States Grand Prix,18,Finished
HUL,Haas F1 Team,18.0,11.0,11,Finished,0.0,2023,United States Grand Prix,18,Finished
BOT,Alfa Romeo,13.0,12.0,12,Finished,0.0,2023,United States Grand Prix,18,Finished
ZHO,Alfa Romeo,12.0,13.0,13,Lapped,0.0,2023,United States Grand Prix,18,Finished
MAG,Haas F1 Team,17.0,14.0,14,Lapped,0.0,2023,United States Grand Prix,18,Finished
RIC,AlphaTauri,14.0,15.0,15,Lapped,0.0,2023,United States Grand Prix,18,Finished
ALO,Aston Martin,19.0,16.0,R,Retired,0.0,2023,United States Grand Prix,18,CarDNF
PIA,McLaren,10.0,17.0,R,Retired,0.0,2023,United States Grand Prix,18,CarDNF
OCO,Alpine,8.0,18.0,R,Retired,0.0,2023,United States Grand Prix,18,CarDNF
HAM,Mercedes,3.0,19.0,19,Disqualified,0.0,2023,United States Grand Prix,18,DriverDNF
LEC,Ferrari,1.0,20.0,20,Disqualified,0.0,2023,United States Grand Prix,18,DriverDNF
VER,Red Bull Racing,3.0,1.0,1,Finished,25.0,2023,Mexico City Grand Prix,19,Finished
HAM,Mercedes,6.0,2.0,2,Finished,19.0,2023,Mexico City Grand Prix,19,Finished
LEC,Ferrari,1.0,3.0,3,Finished,15.0,2023,Mexico City Grand Prix,19,Finished
SAI,Ferrari,2.0,4.0,4,Finished,12.0,2023,Mexico City Grand Prix,19,Finished
NOR,McLaren,17.0,5.0,5,Finished,10.0,2023,Mexico City Grand Prix,19,Finished
RUS,Mercedes,8.0,6.0,6,Finished,8.0,2023,Mexico City Grand Prix,19,Finished
RIC,AlphaTauri,4.0,7.0,7,Finished,6.0,2023,Mexico City Grand Prix,19,Finished
PIA,McLaren,7.0,8.0,8,Finished,4.0,2023,Mexico City Grand Prix,19,Finished
ALB,Williams,14.0,9.0,9,Finished,2.0,2023,Mexico City Grand Prix,19,Finished
OCO,Alpine,15.0,10.0,10,Finished,1.0,2023,Mexico City Grand Prix,19,Finished
GAS,Alpine,11.0,11.0,11,Finished,0.0,2023,Mexico City Grand Prix,19,Finished
TSU,AlphaTauri,18.0,12.0,12,Finished,0.0,2023,Mexico City Grand Prix,19,Finished
HUL,Haas F1 Team,12.0,13.0,13,Finished,0.0,2023,Mexico City Grand Prix,19,Finished
ZHO,Alfa Romeo,10.0,14.0,14,Finished,0.0,2023,Mexico City Grand Prix,19,Finished
BOT,Alfa Romeo,9.0,15.0,15,Finished,0.0,2023,Mexico City Grand Prix,19,Finished
SAR,Williams,19.0,16.0,16,Retired,0.0,2023,Mexico City Grand Prix,19,CarDNF
STR,Aston Martin,0.0,17.0,17,Collision damage,0.0,2023,Mexico City Grand Prix,19,DriverDNF
ALO,Aston Martin,13.0,18.0,W,Withdrew,0.0,2023,Mexico City Grand Prix,19,DriverDNF
MAG,Haas F1 Team,16.0,19.0,R,Accident,0.0,2023,Mexico City Grand Prix,19,DriverDNF
PER,Red Bull Racing,5.0,20.0,R,Collision damage,0.0,2023,Mexico City Grand Prix,19,DriverDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,25.0,2023,São Paulo Grand Prix,20,Finished
NOR,McLaren,6.0,2.0,2,Finished,19.0,2023,São Paulo Grand Prix,20,Finished
ALO,Aston Martin,4.0,3.0,3,Finished,15.0,2023,São Paulo Grand Prix,20,Finished
PER,Red Bull Racing,9.0,4.0,4,Finished,12.0,2023,São Paulo Grand Prix,20,Finished
STR,Aston Martin,3.0,5.0,5,Finished,10.0,2023,São Paulo Grand Prix,20,Finished
SAI,Ferrari,7.0,6.0,6,Finished,8.0,2023,São Paulo Grand Prix,20,Finished
GAS,Alpine,15.0,7.0,7,Finished,6.0,2023,São Paulo Grand Prix,20,Finished
HAM,Mercedes,5.0,8.0,8,Finished,4.0,2023,São Paulo Grand Prix,20,Finished
TSU,AlphaTauri,16.0,9.0,9,Finished,2.0,2023,São Paulo Grand Prix,20,Finished
OCO,Alpine,14.0,10.0,10,Lapped,1.0,2023,São Paulo Grand Prix,20,Finished
SAR,Williams,19.0,11.0,11,Lapped,0.0,2023,São Paulo Grand Prix,20,Finished
HUL,Haas F1 Team,11.0,12.0,12,Lapped,0.0,2023,São Paulo Grand Prix,20,Finished
RIC,AlphaTauri,17.0,13.0,13,Lapped,0.0,2023,São Paulo Grand Prix,20,Finished
PIA,McLaren,10.0,14.0,14,Lapped,0.0,2023,São Paulo Grand Prix,20,Finished
RUS,Mercedes,8.0,15.0,R,Retired,0.0,2023,São Paulo Grand Prix,20,CarDNF
BOT,Alfa Romeo,18.0,16.0,R,Retired,0.0,2023,São Paulo Grand Prix,20,CarDNF
ZHO,Alfa Romeo,20.0,17.0,R,Retired,0.0,2023,São Paulo Grand Prix,20,CarDNF
MAG,Haas F1 Team,12.0,18.0,R,Retired,0.0,2023,São Paulo Grand Prix,20,CarDNF
ALB,Williams,13.0,19.0,R,Retired,0.0,2023,São Paulo Grand Prix,20,CarDNF
LEC,Ferrari,2.0,20.0,W,Did not start,0.0,2023,São Paulo Grand Prix,20,CarDNF
VER,Red Bull Racing,2.0,1.0,1,Finished,25.0,2023,Las Vegas Grand Prix,21,Finished
LEC,Ferrari,1.0,2.0,2,Finished,18.0,2023,Las Vegas Grand Prix,21,Finished
PER,Red Bull Racing,11.0,3.0,3,Finished,15.0,2023,Las Vegas Grand Prix,21,Finished
OCO,Alpine,16.0,4.0,4,Finished,12.0,2023,Las Vegas Grand Prix,21,Finished
STR,Aston Martin,19.0,5.0,5,Finished,10.0,2023,Las Vegas Grand Prix,21,Finished
SAI,Ferrari,12.0,6.0,6,Finished,8.0,2023,Las Vegas Grand Prix,21,Finished
HAM,Mercedes,10.0,7.0,7,Finished,6.0,2023,Las Vegas Grand Prix,21,Finished
RUS,Mercedes,3.0,8.0,8,Finished,4.0,2023,Las Vegas Grand Prix,21,Finished
ALO,Aston Martin,9.0,9.0,9,Finished,2.0,2023,Las Vegas Grand Prix,21,Finished
PIA,McLaren,18.0,10.0,10,Finished,2.0,2023,Las Vegas Grand Prix,21,Finished
GAS,Alpine,4.0,11.0,11,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
ALB,Williams,5.0,12.0,12,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
MAG,Haas F1 Team,8.0,13.0,13,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
RIC,AlphaTauri,14.0,14.0,14,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
ZHO,Alfa Romeo,17.0,15.0,15,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
SAR,Williams,6.0,16.0,16,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
BOT,Alfa Romeo,7.0,17.0,17,Finished,0.0,2023,Las Vegas Grand Prix,21,Finished
TSU,AlphaTauri,20.0,18.0,18,Retired,0.0,2023,Las Vegas Grand Prix,21,CarDNF
HUL,Haas F1 Team,13.0,19.0,19,Retired,0.0,2023,Las Vegas Grand Prix,21,CarDNF
NOR,McLaren,15.0,20.0,R,Retired,0.0,2023,Las Vegas Grand Prix,21,CarDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2023,Abu Dhabi Grand Prix,22,Finished
LEC,Ferrari,2.0,2.0,2,Finished,18.0,2023,Abu Dhabi Grand Prix,22,Finished
RUS,Mercedes,4.0,3.0,3,Finished,15.0,2023,Abu Dhabi Grand Prix,22,Finished
PER,Red Bull Racing,9.0,4.0,4,Finished,12.0,2023,Abu Dhabi Grand Prix,22,Finished
NOR,McLaren,5.0,5.0,5,Finished,10.0,2023,Abu Dhabi Grand Prix,22,Finished
PIA,McLaren,3.0,6.0,6,Finished,8.0,2023,Abu Dhabi Grand Prix,22,Finished
ALO,Aston Martin,7.0,7.0,7,Finished,6.0,2023,Abu Dhabi Grand Prix,22,Finished
TSU,AlphaTauri,6.0,8.0,8,Finished,4.0,2023,Abu Dhabi Grand Prix,22,Finished
HAM,Mercedes,11.0,9.0,9,Finished,2.0,2023,Abu Dhabi Grand Prix,22,Finished
STR,Aston Martin,13.0,10.0,10,Finished,1.0,2023,Abu Dhabi Grand Prix,22,Finished
RIC,AlphaTauri,15.0,11.0,11,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
OCO,Alpine,12.0,12.0,12,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
GAS,Alpine,10.0,13.0,13,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
ALB,Williams,14.0,14.0,14,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
HUL,Haas F1 Team,8.0,15.0,15,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
SAR,Williams,20.0,16.0,16,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
ZHO,Alfa Romeo,19.0,17.0,17,Finished,0.0,2023,Abu Dhabi Grand Prix,22,Finished
SAI,Ferrari,16.0,18.0,18,Retired,0.0,2023,Abu Dhabi Grand Prix,22,CarDNF
BOT,Alfa Romeo,18.0,19.0,19,Lapped,0.0,2023,Abu Dhabi Grand Prix,22,Finished
MAG,Haas F1 Team,17.0,20.0,20,Lapped,0.0,2023,Abu Dhabi Grand Prix,22,Finished
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2024,Bahrain Grand Prix,1,Finished
PER,Red Bull Racing,5.0,2.0,2,Finished,18.0,2024,Bahrain Grand Prix,1,Finished
SAI,Ferrari,4.0,3.0,3,Finished,15.0,2024,Bahrain Grand Prix,1,Finished
LEC,Ferrari,2.0,4.0,4,Finished,12.0,2024,Bahrain Grand Prix,1,Finished
RUS,Mercedes,3.0,5.0,5,Finished,10.0,2024,Bahrain Grand Prix,1,Finished
NOR,McLaren,7.0,6.0,6,Finished,8.0,2024,Bahrain Grand Prix,1,Finished
HAM,Mercedes,9.0,7.0,7,Finished,6.0,2024,Bahrain Grand Prix,1,Finished
PIA,McLaren,8.0,8.0,8,Finished,4.0,2024,Bahrain Grand Prix,1,Finished
ALO,Aston Martin,6.0,9.0,9,Finished,2.0,2024,Bahrain Grand Prix,1,Finished
STR,Aston Martin,12.0,10.0,10,Finished,1.0,2024,Bahrain Grand Prix,1,Finished
ZHO,Kick Sauber,17.0,11.0,11,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
MAG,Haas F1 Team,15.0,12.0,12,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
RIC,RB,14.0,13.0,13,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
TSU,RB,11.0,14.0,14,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
ALB,Williams,13.0,15.0,15,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
HUL,Haas F1 Team,10.0,16.0,16,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
OCO,Alpine,19.0,17.0,17,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
GAS,Alpine,20.0,18.0,18,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
BOT,Kick Sauber,16.0,19.0,19,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
SAR,Williams,18.0,20.0,20,Lapped,0.0,2024,Bahrain Grand Prix,1,Finished
VER,Red Bull Racing,1.0,1.0,1,Finished,25.0,2024,Saudi Arabian Grand Prix,2,Finished
PER,Red Bull Racing,3.0,2.0,2,Finished,18.0,2024,Saudi Arabian Grand Prix,2,Finished
LEC,Ferrari,2.0,3.0,3,Finished,16.0,2024,Saudi Arabian Grand Prix,2,Finished
PIA,McLaren,5.0,4.0,4,Finished,12.0,2024,Saudi Arabian Grand Prix,2,Finished
ALO,Aston Martin,4.0,5.0,5,Finished,10.0,2024,Saudi Arabian Grand Prix,2,Finished
